Date,open,high,low,Adjusted_Close,volume
2022-12-19 00:00:00+00:00,9900.5,9900.5,9900.5,9900.5,0
2022-12-20 00:00:00+00:00,9883.25,9883.25,9883.25,9883.25,0
2022-12-21 00:00:00+00:00,10046.25,10046.25,10046.25,10046.25,0
2022-12-22 00:00:00+00:00,9756.25,9756.25,9756.25,9756.25,0
2022-12-23 00:00:00+00:00,9778.25,9778.25,9778.25,9778.25,0
2022-12-27 00:00:00+00:00,9628.25,9628.25,9628.25,9628.25,0
2022-12-28 00:00:00+00:00,9484.25,9484.25,9484.25,9484.25,0
2022-12-29 00:00:00+00:00,9755.25,9755.25,9755.25,9755.25,0
2022-12-30 00:00:00+00:00,9739.25,9739.25,9739.25,9739.25,0
2023-01-03 00:00:00+00:00,9662.25,9662.25,9662.25,9662.25,0
2023-01-04 00:00:00+00:00,9716.25,9716.25,9716.25,9716.25,0
2023-01-05 00:00:00+00:00,9538.25,9538.25,9538.25,9538.25,0
2023-01-06 00:00:00+00:00,9831.25,9831.25,9831.25,9831.25,0
2023-01-09 00:00:00+00:00,9904.25,9904.25,9904.25,9904.25,0
2023-01-10 00:00:00+00:00,10000.25,10000.25,10000.25,10000.25,0
2023-01-11 00:00:00+00:00,10195.25,10195.25,10195.25,10195.25,0
2023-01-12 00:00:00+00:00,10253.25,10253.25,10253.25,10253.25,0
2023-01-13 00:00:00+00:00,10326.25,10326.25,10326.25,10326.25,0
2023-01-16 00:00:00+00:00,10326.25,10326.25,10326.25,10326.25,0
2023-01-17 00:00:00+00:00,10344.25,10344.25,10344.25,10344.25,0
2023-01-18 00:00:00+00:00,10195.25,10195.25,10195.25,10195.25,0
2023-01-19 00:00:00+00:00,10075.25,10075.25,10075.25,10075.25,0
2023-01-20 00:00:00+00:00,10397.25,10397.25,10397.25,10397.25,0
2023-01-23 00:00:00+00:00,10657.25,10657.25,10657.25,10657.25,0
2023-01-24 00:00:00+00:00,10632.25,10632.25,10632.25,10632.25,0
2023-01-25 00:00:00+00:00,10595.25,10595.25,10595.25,10595.25,0
2023-01-26 00:00:00+00:00,10831.25,10831.25,10831.25,10831.25,0
2023-01-27 00:00:00+00:00,10947.25,10947.25,10947.25,10947.25,0
2023-01-30 00:00:00+00:00,10692.25,10692.25,10692.25,10692.25,0
2023-01-31 00:00:00+00:00,10876.25,10876.25,10876.25,10876.25,0
2023-02-01 00:00:00+00:00,11141.25,11141.25,11141.25,11141.25,0
2023-02-02 00:00:00+00:00,11578.25,11578.25,11578.25,11578.25,0
2023-02-03 00:00:00+00:00,11363.25,11363.25,11363.25,11363.25,0
2023-02-10 00:00:00+00:00,11088.25,11088.25,11088.25,11088.25,0
2023-02-13 00:00:00+00:00,11284.25,11284.25,11284.25,11284.25,0
2023-02-14 00:00:00+00:00,11374.25,11374.25,11374.25,11374.25,0
2023-02-15 00:00:00+00:00,11473.25,11473.25,11473.25,11473.25,0
2023-02-16 00:00:00+00:00,11241.25,11241.25,11241.25,11241.25,0
2023-02-17 00:00:00+00:00,11187.25,11187.25,11187.25,11187.25,0
2023-02-20 00:00:00+00:00,11187.25,11187.25,11187.25,11187.25,0
